Name,Vendor,Catalog Number,Size,Quantity in 1 WormBot,Quantity per package,fractional package per bot,Link,Notes,Amount Ordered,Order Number
wire snips,amazon,,,0.2,,,https://www.amazon.com/dp/B085VMP7PB/ref=cm_sw_r_cp_apa_fabc_JF0B02DJYE18PN2YY4ZX,,,
spade crimp terminals,amazon,,,0.333,,,https://www.amazon.com/Uxcell-a14010700ux0184-Female-Terminal-Connectors/dp/B00LUS4ENU,,,
mini screws,grainger,,,0.2,,,https://www.grainger.com/product/GRAINGER-APPROVED-Wood-Screw-1LA94,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Other,,,,,,,,,,
KOOTANS 100 Pcs 2020 Series M4 Thread T Slide Nuts Hammer Drop in Nut for 20 Aluminum Extrusion Profile with T Slot 6mm,Amazon,B07PMM7C44,6mm,2,,,https://www.amazon.com/KOOTANS-Fastener-Sliding-Aluminum-Extrusion/dp/B07PMM7C44,,,1137307
22 awg Silicone Electrical wire Cable 5 Colors (26.3ft each) 22 gauge HookUp wires electronics kit stranded Tinned Copper wire Flexible and soft for DIY,Amazon,B07G7W7G4T,,2,,,https://www.amazon.com/Silicone-Electrical-electronics-stranded-Flexible/dp/B07G7W7G4T,,,1137307
"3d Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175RBLK ",Amazon,B07T6WLFML,N/A,1,,,https://www.amazon.com/AmazonBasics-Printer-Filament-1-75mm-Black/dp/B07T6WLFML/ref=sr_1_1_sspa?dchild=1&keywords=black+pla&qid=1628226184&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzQzA2WDhQOUM4WlNDJmVuY3J5cHRlZElkPUEwMjY4MjMwQUwyQVBGTTE0NTMxJmVuY3J5cHRlZEFkSWQ9QTAwMTg3NDAzOEROSzlWMzlONEM5JndpZGdldE5hbWU9c3BfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,,,1137307
"XHF 6mm(Wrapping Range:4mm-50mm) Spiral Cable Wrap 1/4"" Spiral Wire Wrap Cord for Computer Electrical Wire Organizer Sleeve Hose RoHS Black (Dia 6MM-Length 15M)",Amazon,B07JQ1QHVF,N/A,1,,,https://www.amazon.com/XHF2018-Organizer-Polyethylene-%EF%BC%88Black%EF%BC%89-6MM-Length15M/dp/B07JQ1QHVF/ref=sr_1_1_sspa?dchild=1&keywords=6mm+wire+wrap+21m&qid=1596744748&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzR01URDdTNzZBVVBOJmVuY3J5cHRlZElkPUEwODI2MDA1MktZVTlVNUZBU05YNyZlbmNyeXB0ZWRBZElkPUEwNjM3OTA0MVQzRkE5TjFJVU1FVyZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,,,1137307
manufacturing wormbot pillar fpd,Front Panel Express,,10mm,2,,,invoice,Jason to Order,,
Manufacturing of file: wormbot3.fpd,Front Panel Express,,10.0 mm,1,,,Invoice,Full; Jason to Order,,
